key,zh-CN-zai,zh-CN-gl,zh-TW,en-US,ko-KR,ja-JP,th-TH,id-ID,ru-RU,it-IT,pt-BR,es-ES,vi-VN,fr-FR,tr-TR
LANGUAGE_NAME,简体中文崽崽,简体中文崽崽,繁體中文,English,한국어,日本語,ภาษาไทย,Bahasa Indonesia,Pусский,Italiano,Português(Brasil),Español,Tiếng Việt,Français,Türkçe
SCREENSHOT_SCREENSHOTSHOOTDONE,拍好啦！要发布吗？,拍好啦！要发布吗？,是否上傳到貼文？,Upload it to feed?,피드에 올릴까요?,FEEDに投稿する？,ต้องการแชร์ลงบนฟีดหรือไม่?,Unggah ke feed?,Загрузить в ленту?,Condividi nel feed?,Enviar para o feed?,¿Cargar al feed?,Đăng lên feed?,Le télécharger sur le feed ?,Akışa yüklensin mi?
SCREENSHOT_SCREENSHOTEDIT,编辑,编辑,編輯,Edit,편집,編集,แก้ไข,Edit,Редактировать,Modifica,Editar,Editar,Chỉnh Sửa,Modifier,Düzenle
SCREENSHOT_UPLOAD,发布作品,发布作品,分享貼文,Upload to feed,피드 올리기,FEEDに投稿,แชร์ลงบนฟีด,Unggah ke feed,Загрузить в ленту,Condividi nel feed,Enviar para o feed,Cargar al feed,Đăng lên feed,Télécharger sur le feed,Akışa yükle
SCREENSHOT_TOASTFAIL,失败,失败,失敗,Failed,실패,失敗,ล้มเหลว,Gagal,Сбой,Operazione non riuscita,Falhou,Fallo,Thất Bại,Échec,Başarısız
SCREENSHOT_TOASTSUCCESS,完成,完成,成功,Completed,완료,完了,สำเร็จ,Berhasil,Завершено,Operazione completata,Concluído,Completada,Hoàn Tất,Terminé,Tamamlandı
SCREENSHOT_TOASTPROGRESS,进行中...,进行中...,進行中,In progress,진행중…,進行中,กำลังดำเนินการ,Sedang berlangsung,Выполняется,Operazione in corso...,Em andamento,En progreso,Đang Tiến Hành,En cours,Devam ediyor
SCREENSHOT_PREVIEWUPLOAD,发布作品,发布作品,分享貼文,Upload to feed,피드 올리기,FEEDに投稿,แชร์ลงบนฟีด,Unggah ke feed,Загрузить в ленту,Condividi nel feed,Enviar para o feed,Cargar al feed,Đăng lên feed,Télécharger sur le feed,Akışa yükle
SCREENSHOT_PREVIEWDESCRIPTIONTITLE,咦，你们都躲到哪里去了呢？,咦，你们都躲到哪里去了呢？,咦，你們都躲到哪裏去了呢？,"Why, where have you all been hiding?",응? 다들 어디에 숨었지?,おや、きみたちは、どこへかくれてしまったのでしょう。,พวกเธอไปซ่อนอยู่ ที่ไหนกันมา,"Yee, di mana kalian bersembunyi?",Где вы все прячетесь?,"Hai, dove ti sei nascosto?","Então, onde é que vocês se esconderam?",¿Dónde os habéis escondido?,Các cậu trốn ở đâu vậy?,Mais où vous êtes-vous tous cachés?,"Hey, hepiniz nerede saklan谋yordunuz?"
SCREENSHOT_PREVIEWFEEDMESSAGEPLACEHOLDER,#ZEPETO#百变躲猫猫#躲猫猫#捉迷藏,#ZEPETO#百变躲猫猫#躲猫猫#捉迷藏,#ZEPETO#捉迷藏,#ZEPETO#HideandSeek,#ZEPETO#숨바꼭질,#ZEPETO#かくれんぼ,#ZEPETO#ซ่อนหา,#ZEPETO#Petak Umpet,#ZEPETO#Прятки,#ZEPETO#Nascondino magico,#ZEPETO#Esconde-Esconde,#ZEPETO#Escondite,#ZEPETO#Trốn Tìm,#ZEPETO#Cache-Cache,#ZEPETO#Saklambaç
SCREENSHOT_TOASTMAXCHARACTER,最多150字,最多150字,字數限制在150字以內。,Please write it within 150 characters or less.,150자 이내로 작성해주세요.,150字以内で作成してね,กรุณาเขียนไม่เกิน 150 ตัวอักษร,Silakan tulis dengan 150 karakter atau kurang.,Макс. количество символов — 150.,Scegli un nome composto al massimo da 150 caratteri.,Escreva até 150 caracteres.,Escribe menos de 150 caracteres.,Viết giới hạn trong 150 ký tự.,Veuillez l'écrire en 150 caractères ou moins.,Lütfen 150 karakteri geçmeden yaz.
loading_ui_title,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING,LOADING
Button_OK,确认,确认,確認,confirmation,확인,確認,ตรวจสอบ,konfirmasi,подтверд,confermare,confirmação,confirmación,Xác nhận,La confirmation,onaylamak
Change_ui_title,选择变身,选择变身,變身,Transform,변신,変身,แปลงร่าง,Berubah,Преображение,Trasformati,Transformar,Transformar,Biến Hình,Transformer,Dönüşüm
Change_ui_title_button_1,还原,还原,還原,reduction,초기화,还元,เรียกคืน,pengurangan,восстановлен,riduzione,redução,restauración,Phục hồi,La réduction,kesinti
Change_ui_title_button_2,变身,变身,變身,Transform,변신,変身,แปลงร่าง,Berubah,Преображение,Trasformati,Transformar,Transformar,Biến Hình,Transformer,Dönüşüm
Toast_wait_tip,正在等待一起体验的玩家,正在等待一起体验的玩家,正在等候朋友的參與,Waiting for friends to play with,함께 플레이할 친구를 기다리는 중,一緒にプレイする友達を待機中,กำลังรอเพื่อนที่จะมาเล่นด้วยกัน,Menunggu teman untuk bermain bersama,"Ждем друзей, с которыми будем играть",In attesa di altri giocatori,Aguardando amigos para jogar,Esperando amistades para jugar,Đang đợi bạn chơi cùng,En attente d'amis avec qui jouer,Oynamak için arkadaşlar bekleniyor
Toast_wait_content,4人以上才能参赛,4人以上才能参赛,至少4人以上才能開始遊戲。,You need 4 or more people to start,4명 이상 모여야 시작할 수 있어요.,４名以上でスタート,ต้องมีเพื่อน 4 คนขึ้นไปถึงจะเริ่มได้,Butuh 4 orang atau lebih untuk mulai,Для начала требуется как минимум 4 игрока,Per il gioco è richiesta la partecipazione di almeno 4 utenti,É preciso 4 pessoas ou mais para começar,Necesitas 4 o más personas para empezar,Bạn cần 4 người hoặc nhiều hơn để bắt đầu,Vous avez besoin de 4 personnes ou plus pour commencer,Başlamak için 4 veya daha fazla kişiye ihtiyacın var
Toast_ready_start,即将开始,即将开始,準備,Ready,준비,準備,เตรียมพร้อม,Siap,Готовы,Partita pronta,Pronto,Todo listo,Sẵn Sàng,Prêt,Hazır
Toast_hider_tip,你是躲藏者，变身物品藏起来吧,你是躲藏者，变身物品藏起来吧,請變身為物件躲避追捕者。,Transform into a prop to hide from the hunter.,사물로 변신해 술래를 피해 숨으세요.,物に変身して鬼から隠れよう！,แปลงร่างเป็นสิ่งของเพื่อซ่อนตัวจากฮันเตอร์,Berubah menjadi benda untuk bersembunyi dari pemburu.,"Преображайтесь в предметы, чтобы прятаться от охотника.",Trasformati in un oggetto per non farti trovare dai cercatori.,Transforme-se em um objeto para se esconder do caçador.,Transfórmate en objeto para ocultarte del cazador.,Biến thành đồ vật để trốn thợ săn.,Transforme-toi en accessoire pour te cacher du chasseur.,Arayıcı'dan saklanmak için bir nesneye dönüş.
Toast_hunter_tip,你是寻找者，距离寻找开始还有,你是寻找者，距离寻找开始还有,請用手電筒照看匿藏在物件裡的朋友。,Shine the flashlight to find the hidden friends.,손전등을 비춰 숨은 친구들을 찾으세요.,懐中電灯を照らして隠れている友達を見つけよう！,ส่องไฟฉายเพื่อหาเพื่อนๆ ที่ซ่อนอยู่,Sorotkan senter untuk menemukan teman-teman yang bersembunyi.,"Светите фонариком, чтобы находить прячущихся друзей.",Usa la torcia per trovare tutti i giocatori nascosti.,Ligue a lanterna para achar os amigos escondidos.,Alumbra con la linterna para encontrar a tus amistades escondidas.,Chiếu đèn pin để tìm những người bạn đang trốn.,Sers-toi de la lampe de poche pour trouver tes amis cachés.,Gizlenen arkadaşlarını bulmak için el fenerini aç.
Toast_hider_beFound,被发现啦，隐身技能可以帮到你哦,被发现啦，隐身技能可以帮到你哦,你被追捕者發現了。請使用隱身技能逃避。,You've been caught by the hunter. Escape using the stealth skill.,술래에게 걸렸어요. 은신 스킬로 도망쳐요.,鬼に見つかったよ！隠れスキルで逃げられるよ！,ถูกฮันเตอร์จับได้แล้ว ใช้สกิลซ่อนตัวเพื่อหลบหนี,Anda telah tertangkap oleh pemburu. Kabur dengan skill menghilang.,"Охотник поймал вас. Бегите, используя навык скрытности.",Ti hanno catturato. Fuggi usando l'abilità furtiva.,O caçador capturou você. Use a habilidade furtiva para escapar.,Te atrapó el cazador. Escapa mediante la habilidad furtiva.,Bạn đã bị thợ săn bắt. Sử dụng kỹ năng ẩn mình để trốn thoát.,Tu as été attrapé par le chasseur. Échappe-toi en utilisant la compétence spéciale furtivité.,Arayıcı tarafından yakalandın. Gizlilik becerisini kullanarak kaç.
Toast_hider_dead,你已阵亡，正在观战,你已阵亡，正在观战,你已被追捕者抓住，因此進入旁觀者模式。,You've been caught by the hunter. Entering Spectator Mode.,술래에게 잡혀 관전 모드로 진입했어요.,鬼に捕まったから視聴モードになったよ,เข้าสู่โหมดผู้ชมเนื่องจากถูกฮันเตอร์จับตัวได้,Anda telah tertangkap oleh pemburu. Memasuki Mode Spektator.,Охотник поймал вас. Переключение в режим наблюдателя.,Ti hanno catturato. Passaggio alla modalità spettatore.,O caçador capturou você. Entrando no Modo espectador.,Te atrapó el cazador. Entrarás en el modo espectador.,Bạn đã bị thợ săn bắt. Vào Chế Độ Người Xem.,Vous avez été attrapé par le chasseur. Passage en mode spectateur.,Arayıcı tarafından yakalandın. İzleyici Moduna Giriliyor.
Toast_hunter_kill,成功找到躲藏者，真棒,成功找到躲藏者，真棒,你找到了隱藏的朋友。,You've found the hidden friend.,숨은 친구를 찾았어요.,隠れている友達をみっけ！,เจอเพื่อนที่ซ่อนตัวอยู่แล้ว,Anda menemukan teman yang bersembunyi.,Вы нашли прячущегося друга.,Hai trovato un giocatore nascosto.,Você achou um amigo escondido.,Encontraste a tu amistad escondida.,Bạn đã tìm thấy một người bạn bị giấu.,Vous avez trouvé l'ami caché.,Gizlenen arkadaşını buldun.
Toast_peak_tip,巅峰时刻,巅峰时刻,回合結束前1分鐘！,1 minute before the round ends!,라운드 종료 1분 전!,ラウンド終了1分前！,เหลืออีก 1 นาทีก่อนจะจบรอบ!,1 menit lagi sebelum ronde selesai!,До конца раунда осталась 1 минута!,Manca solo 1 minuto alla fine del round!,1 minuto até o fim da rodada!,¡Falta 1 minuto para el final de la ronda!,1 phút trước khi vòng đấu kết thúc!,1 minute avant la fin de cette partie !,Turun bitmesine 1 dakika kaldı!
Toast_peak_content,躲藏者血量大幅提升，寻找者获得扫描功能,躲藏者血量大幅提升，寻找者获得扫描功能,匿藏者隊能量暴增，追捕者隊獲得掃描技能。,"The Prop Team's energy has dramatically increased, and the Hunter Team has gained the scanning skill.","사물팀의 에너지가 대폭 상승하고, 술래팀은 스캔 스킬을 얻었어요.",物チームのパワー急上昇中！鬼チームはスキャンスキルを獲得したよ,เอเนอจี้ของทีมพร็อบเพิ่มขึ้นเป็นจำนวนมาก ส่วนทีมฮันเตอร์ได้รับสกิลสแกน,"Energi Tim Benda telah meningkat pesat, dan Tim Pemburu memperoleh skill melacak.","Команда предметов получила значительную прибавку к энергии, а команда охотников приобрела навык сканирования.",L’energia del team dei giocatori nascosti è aumentata notevolmente mentre il team dei cercatori ha ottenuto l’abilità di ispezione.,"A energia da Equipe Objeto aumentou drasticamente, e a Equipe Caçadora ganhou a habilidade de varredura.",La energía del equipo Objeto aumentó significativamente y el equipo Cazador consiguió la habilidad escaneo.,"Năng lượng của Đội Con Mồi đã tăng lên rất nhiều, và Đội Thợ Săn đã đạt được kĩ năng quét.","L'énergie de l'équipe des accessoires a considérablement augmenté, et l'équipe de chasseurs a gagné la compétence spéciale de balayage de zone.",Gizlenme Takımı'nın enerjisi önemli ölçüde arttı ve Arayıcı Takım tarama becerisi kazandı.
Toast_buff_duration,距离现身,距离现身,截止隱身效果結束,until the stealth effect ends,은신 효과 종료까지,隠れスキル終了まで,จนกว่าเอฟเฟกต์พรางตัวจะสิ้นสุดลง,Sampai efek menghilang habis,пока не завершится действие скрытности,fino alla fine dell'effetto furtivo,até terminar o efeito furtivo,hasta el final del efecto furtivo,cho đến khi kĩ năng ẩn mình hết hiệu lực,jusqu'à la fin de l'effet de furtivité,gizlilik etkisi sona erene kadar
Toast_status_lock,状态已锁定,状态已锁定,鎖定狀態,Locked,잠금 상태,ロック状態,ล็อก,Terkunci,Заблокировано,Stato bloccato,Bloqueado,Bloqueado,Bị Khóa,Verrouillé,Kilitli
Toast_status_unlock,锁定状态已解除,锁定状态已解除,解鎖狀態,Unlock,잠금 상태 해제,ロック解除,ปลดล็อก,Buka,Разблокировать,Stato sbloccato,Desbloquear,Desbloquear,Gỡ Khóa,Déverrouiller,Kilidi aç
Toast_hider_beScan,已被扫描，注意躲藏,已被扫描，注意躲藏,追捕者剛掃描了周邊環境，請趕快隱身。,The hunter scanned the surrounding. Hide quickly.,술래가 주변을 스캔했어요. 빨리 숨으세요.,鬼がスキャン中だよ！早く逃げて！,ฮันเตอร์สแกนบริเวณรอบๆ แล้ว รีบซ่อนตัวเร็วเข้า,Pemburu melacak sekitar. Segera bersembunyi.,Охотник просканировал обстановку. Прячьтесь скорее.,Il cercatore sta ispezionando l’ambiente di gioco circostante. Nasconditi rapidamente.,"O caçador fez uma varredura nos arredores. Esconda-se, rápido.",El cazador escaneó los alrededores. Ocúltate rápido.,Thợ săn đang quét xung quanh. Trốn thật nhanh.,Le chasseur a scanné les environs. Cachez-vous rapidement.,Arayıcı çevreyi taradı. Çabuk saklan.
Toast_hunter_Scan,扫描到了躲藏者，请注意,扫描到了躲藏者，请注意,剛掃描了周邊環境，請趕快找找看。,You've scanned the surrounding. Search quickly.,주변을 스캔했어요. 빨리 찾아보세요.,周辺をスキャン中！早く探してみて！,สแกนบริเวณรอบๆ แล้ว รีบหาเร็วเข้า,Anda telah melacak sekitar. Segera cari.,Вы просканировали обстановку. Ищите скорее.,Hai ispezionato l'ambiente circostante. Effettua una ricerca rapida.,"Você fez uma varredura nos arredores. Procure, rápido.",Escaneaste los alrededores. Busca rápidamente.,Đã quét xung quanh. Tìm thật nhanh.,Vous avez inspecté les environs. Cherchez rapidement.,Çevreyi taradın. Hızlıca ara.
Toast_round_over,回合结束,回合结束,回合結束,Round Over,라운드 종료,ラウンド終了,จบรอบแล้ว,Ronde Selesai,Конец раунда,Round terminato,Fim da rodada,Ronda finalizada,Kết Thúc Ván Đấu,La partie est terminée,Tur Sona Erdi
Toast_game_over,游戏结束,游戏结束,遊戲結束,Game Over,플레이 종료,ゲームオーバー,เกมจบแล้ว,Permainan Berakhir,Конец игры,Partita terminata,Fim do jogo,Partida finalizada,Game Over,Jeu terminé,Oyun Bitti
Rule_ui_title,百变躲猫猫,百变躲猫猫,捉迷藏,Hide & Seek,숨바꼭질,かくれんぼ,ซ่อนหา,Petak Umpet,Прятки,Nascondino magico,Esconde-Esconde,Escondite,Trốn Tìm,Cache-Cache,Saklambaç
Rule_button_1,玩法说明,玩法说明,玩法說明,Tutorial,튜토리얼,チュートリアル,โหมดฝึกสอน,Tutorial,Обучение,Tutorial,Tutorial,Tutorial,Hướng Dẫn,Tutoriel,Öğretici
Rule_button_2,技能说明,技能说明,技能說明,Skill Description,스킬 설명,スキル説明,คำอธิบายสกิล,Deskripsi Skill,Описание навыка,Descrizione abilità,Descrição da habilidade,Descripción de habilidad,Miêu Tả Kĩ Năng,Description des compétences,Beceri Açıklaması
Rule_Desc_1_1,使用手电筒的光柱持续扫描躲藏者，可以对其造成伤害，快去找躲藏者吧！,使用手电筒的光柱持续扫描躲藏者，可以对其造成伤害，快去找躲藏者吧！,請用手電筒照看物件降低能量。當耗盡所有能量，將能找出隱藏在物件裡的匿藏者。,Shine the flashlight on props to deplete their energy. Deplete all their energy to find the hidden Prop Team.,손전등으로 사물을 비춰 에너지를 깎아요. 모든 에너지를 깎으면 숨어있던 사물팀을 찾을 수 있어요.,懐中電灯で物を照らしてパワーを減らします。 すべてのパワーを減らすことで隠れていた物チームを見つけることができます。,ส่องไฟฉายที่สิ่งของเพื่อลดเอเนอจี้ หากเอเนอจี้ทั้งหมดลดลงจนหมดจะเจอทีมพร็อบที่ซ่อนตัวอยู่,Sorot senter pada benda untuk menguras energi mereka. Kuras semua energi mereka untuk menemukan Tim Benda tersembunyi.,"Светите фонариком на предметы, чтобы лишать их энергии. Поглотите всю энергию предмета, чтобы найти команду прячущихся предметов.",Punta la luce della torcia sugli oggetti per esaurire la loro energia e trovare tutti i giocatori nascosti.,Aponte a luz da lanterna para os objetos para esgotar a energia deles. Esgote toda a energia dos adversários para revelar a Equipe Objeto.,Alumbra objetos con la linterna para quitarles la energía. Quítales toda la energía para encontrar al equipo Objeto escondido.,Chiếu đèn pin vào đồ vật để giảm năng lượng của chúng. Giảm hết năng lượng của chúng để tìm Đội Con Mồi đang trốn.,Allumez la lampe de poche sur les accessoires pour épuiser leur énergie. Videz toute leur énergie pour démasquer ceux qui se sont transformés en accessoires.,Onların enerjisini tüketmek için el fenerini nesnelerine üzerine tut. Bir yerlerde saklanan Gizlenme Takımı'nı bulmak için onların tüm enerjilerini tüket.
Rule_Desc_1_2,变身成各种物品躲藏起来，也可使用隐身道具进行逃跑哦！,变身成各种物品躲藏起来，也可使用隐身道具进行逃跑哦！,變身為物件隱身或使用隱身技能躲避追捕者。,Transform into a prop to hide or use the stealth skill to avoid the hunter.,"사물로 변신해 숨거나, 은신 스킬을 사용해 술래를 피할 수 있어요.",物に変身して隠れたり、隠れスキルを使って鬼を避けることができます。,แปลงร่างเป็นสิ่งของเพื่อซ่อนตัวหรือใช้สกิลพรางตัวเพื่อหลบฮันเตอร์,Berubah menjadi benda atau sembunyi menggunakan skill menghilang untuk menghindari pemburu.,"Преображайтесь в предметы, чтобы прятаться, или используйте навык скрытности, чтобы не попасться охотнику.",Trasformati in un oggetto per nasconderti o utilizza l'abilità furtiva per evitare i giocatori cercatori.,Transforme-se em um objeto para se esconder do caçador.,Transfórmate en objeto para ocultarte o utiliza la habilidad furtiva para eludir al cazador.,Biến thành đồ vật để trốn hoặc dùng kĩ năng ẩn mình để tránh thợ săn.,Transformez-vous en accessoire pour vous cacher ou utilisez la compétence furtivité pour éviter le chasseur.,Saklanmak için bir nesneye dönüş veya Arayıcı'dan kaçmak için gizlilik becerisini kullan.
Rule_Desc_2_1,寻找者使用手电筒，利用光柱扫描躲藏者，对其造成伤害！,寻找者使用手电筒，利用光柱扫描躲藏者，对其造成伤害！,追捕者隊請用手電筒照看物件降低能量。當耗盡所有能量，將能找出隱藏在物件裡的匿藏者。,The Hunter Team will shine the flashlight on props to deplete their energy. Depleting all their energy will reveal the hidden Prop Team.,술래팀은 손전등으로 사물을 비춰 에너지를 깎아요. 모든 에너지를 깎으면 숨어있던 사물팀을 찾을 수 있어요.,鬼チームは懐中電灯で物を照らしてパワーを減らします。 すべてのパワーを減らすことで隠れていた物チームを見つけることができます。,ทีมฮันเตอร์จะส่องไฟฉายไปยังสิ่งของเพื่อลดเอเนอจี้ เมื่อเอเนอจี้ลดลงจนหมด จะเจอทีมพร็อบที่ซ่อนตัวอยู่,Tim Pemburu akan menyorot senter pada benda untuk menguras energinya. Menguras energi akan mengungkap Tim Benda yang bersembunyi.,"Команда охотников будет светить фонариком на предметы, чтобы лишать их энергии. Если поглотить всю энергию предметов, команда прячущихся предметов будет раскрыта.",I giocatori cercatori punteranno la luce della torcia sugli oggetti per esaurire la loro energia e rivelare la posizione tutti i giocatori nascosti.,"A Equipe Caçadora apontará a luz da lanterna nos objetos para esgotar a energia deles. Se toda a energia for esgotada, a Equipe Objeto será revelada.","El equipo Cazador alumbrará los objetos con la linterna para quitarles la energía. Al hacerlo, el equipo Objeto quedará al descubierto.",Đội Thợ Săn sẽ chiếu đèn pin vào đồ vật để làm giảm năng lượng của chúng. Làm giảm tất cả năng lượng của chúng để tìm ra Đội Con Mồi đang trốn.,"L'équipe des chasseurs braquera la lampe de poche sur les accessoires pour épuiser leur énergie. De cette façon, ils découvriront qui sont ceux qui se sont transformés en accessoires pour se cacher.","Arayıcı Takım, Gizlenme Takımı'nın enerjisini tüketmek için el fenerini nesnelerin üzerine tutacaktır. Tüm enerjilerini tüketmek saklanan Gizlenme Takımı'nı ortaya çıkaracaktır."
